player,net_debit_seconds,net_debit_minutes,actual_seconds,share,pts_removed,reb_removed,ast_removed,stl_removed,blk_removed
Chandler Hutchison,31608,526:48,31608,1.000000000,218.0000,108.0000,26.0000,27.0000,7.0000
Denzel Valentine,15600,260:00,29275,0.532877882,131.0880,39.4330,22.9137,13.8548,3.1973
Shaquille Harrison,14400,240:00,29060,0.495526497,103.5650,42.6153,24.2808,16.8479,9.4150
Ryan Arcidiacono,8400,140:00,55799,0.150540332,39.2910,16.5594,14.4519,4.0646,0.4516
Adam Mokoka,5400,90:00,6700,0.805970149,25.7910,8.0597,3.2239,3.2239,0.0000
Max Strus,374,6:14,374,1.000000000,5.0000,1.0000,0.0000,0.0000,0.0000
Thaddeus Young,7918,131:58,95439,0.082963987,54.6733,26.1337,9.7068,7.6327,1.9082
