player,minutes,bpm,raptor_possessions,raptor_total,e_net_to_2021_03_24,sample_status
Troy Brown Jr.,524,-4.0,1095,-3.790820543,-6.4,ACTIVE
Josh Okogie,1197,-3.3,2567,-0.573121438,-6.7,ACTIVE
Chandler Hutchison,346,-5.6,775,-5.161790886,6.8,ACTIVE
Jacob Evans,0,,0,,,NO_NBA_MINUTES
Rodions Kurucs,125,-4.6,284,-4.993916161,-3.9,ACTIVE
Bruce Brown,1451,-0.1,3030,1.112750543,4.3,ACTIVE
Hamidou Diallo,1226,-2.1,2569,-0.877611213,-5.3,ACTIVE
Svi Mykhailiuk,1324,-2.6,2821,-3.020323669,-1.2,ACTIVE
Keita Bates-Diop,245,-1.9,525,-1.402922313,-14.7,ACTIVE
