player,source_class,net_debit_seconds,net_debit_minutes,actual_seconds,share,pts_removed,reb_removed,ast_removed,stl_removed,blk_removed,tov_removed,pf_removed,fga_removed,fta_removed,three_pa_removed
Patrick Williams,DIRECT_SLOT_REMOVED,71570,1192:50,71570,1.000000000,405.0000,207.0000,52.0000,30.0000,31.0000,60.0000,92.0000,332.0000,77.0000,94.0000
Chandler Hutchison,DIRECT_SLOT_REMOVED,3815,63:35,3815,1.000000000,13.0000,20.0000,4.0000,1.0000,0.0000,5.0000,9.0000,18.0000,2.0000,3.0000
Tomas Satoransky,SECONDARY_DONOR,19800,330:00,43283,0.457454428,112.0763,37.0538,69.5331,9.6065,4.1171,24.7025,19.6705,78.6822,21.0429,27.9047
Denzel Valentine,SECONDARY_DONOR,21600,360:00,43168,0.500370645,141.1045,75.0556,32.5241,12.5093,0.5004,11.0082,21.0156,143.6064,4.5033,84.5626
Ryan Arcidiacono,SECONDARY_DONOR,8362,139:22,17766,0.470674322,40.4780,19.7683,15.5323,3.2947,0.0000,2.8240,14.1202,36.7126,6.5894,22.1217
Coby White,SECONDARY_DONOR,13200,220:00,81724,0.161519260,104.8260,31.6578,32.3039,3.5534,0.9691,15.8289,16.9595,94.0042,13.7291,44.7408
Garrett Temple,SECONDARY_DONOR,4838,80:38,58647,0.082493563,24.5006,9.0743,5.6921,2.6398,1.4849,2.8873,6.6820,21.3658,3.1348,11.0541
Otto Porter Jr.,SECONDARY_DONOR,1415,23:35,32419,0.043647244,10.7809,6.0233,2.1824,0.5238,0.1746,1.0912,1.6149,8.8167,1.6149,4.1465
