player,source_class,predeadline_seconds,bpm,raptor_possessions,raptor_minutes,raptor_total,e_net_to_2021_03_24,source_scope
Patrick Williams,DIRECT_SLOT_REMOVED,71570,-2.4,4148,1983,-3.718445573,-4.6,CHI_FULL_SEASON_AND_DATE_CUTOFF
Chandler Hutchison,DIRECT_SLOT_REMOVED,3815,-5.6,775,346,-5.161790886,6.8,TWO_TEAM_FULL_SEASON_WEIGHTED_AND_DATE_CUTOFF
Tomas Satoransky,SECONDARY_DONOR,43283,-0.5,2702,1307,0.132419071,4.4,CHI_FULL_SEASON_AND_DATE_CUTOFF
Denzel Valentine,SECONDARY_DONOR,43168,-2.7,2159,1036,-1.774850366,3.7,CHI_FULL_SEASON_AND_DATE_CUTOFF
Ryan Arcidiacono,SECONDARY_DONOR,17766,-2.3,930,450,0.420395886,2.2,CHI_FULL_SEASON_AND_DATE_CUTOFF
Coby White,SECONDARY_DONOR,81724,-2.4,4564,2156,-2.530787202,-2.9,CHI_FULL_SEASON_AND_DATE_CUTOFF
Garrett Temple,SECONDARY_DONOR,58647,-3.0,3253,1528,0.244429959,4.8,CHI_FULL_SEASON_AND_DATE_CUTOFF
Otto Porter Jr.,SECONDARY_DONOR,32419,0.2,1156,540,-1.953181403,-5.9,CHI_TEAM_LINE_AND_DATE_CUTOFF
Thaddeus Young,PROTECTED_NET_ZERO_BRIDGE,58447,3.3,3443,1652,4.722239511,5.8,CHI_FULL_SEASON_AND_DATE_CUTOFF
