player,gp,seconds,minutes,pts36,reb36,ast36,stl36,blk36,tov36,pf36,ts,three_pa36,three_p,sample_status
Troy Brown Jr.,34,31404,523:24,11.074,7.222,1.995,0.688,0.413,1.444,3.370,0.525320,4.815,0.314286,ACTIVE
Josh Okogie,59,71804,1196:44,9.506,4.693,1.895,1.624,0.842,1.294,3.700,0.524012,3.249,0.268519,ACTIVE
Chandler Hutchison,25,20747,345:47,11.140,8.121,1.770,1.249,0.521,2.082,3.436,0.469298,2.290,0.363636,ACTIVE
Jacob Evans,0,0,0:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,,NO_NBA_MINUTES
Rodions Kurucs,21,7472,124:32,8.961,6.649,2.891,2.602,1.156,3.758,4.625,0.459123,6.071,0.285714,ACTIVE
Bruce Brown,65,87066,1451:06,14.215,8.658,2.580,1.439,0.695,1.340,3.597,0.603819,1.464,0.288136,ACTIVE
Hamidou Diallo,52,73565,1226:05,17.735,7.986,2.966,1.204,0.705,2.231,3.934,0.541219,2.408,0.341463,ACTIVE
Svi Mykhailiuk,66,79466,1324:26,15.194,4.431,2.990,1.386,0.326,2.392,1.712,0.529356,8.535,0.334395,ACTIVE
Keita Bates-Diop,30,14681,244:41,11.623,7.209,1.766,1.618,0.736,1.030,1.618,0.518101,2.501,0.294118,ACTIVE
